Name ,Content,Collection,Year of Publication
Acquainted with the Night,"I have been one acquainted with the night.
I have walked out in rain—and back in rain.
I have outwalked the furthest city light.
I have looked down the saddest city lane.
I have passed by the watchman on his beat
And dropped my eyes, unwilling to explain.
I have stood still and stopped the sound of feet
When far away an interrupted cry
Came over houses from another street,
But not to call me back or say good-bye;
And further still at an unearthly height,
One luminary clock against the sky
Proclaimed the time was neither wrong nor right. 
I have been one acquainted with the night.
",West-Running Book,1928
The Road not taken,"Two roads diverged in a yellow wood,
And sorry I could not travel both
And be one traveler, long I stood
And looked down one as far as I could
To where it bent in the undergrowth;
Then took the other, as just as fair,
And having perhaps the better claim,
Because it was grassy and wanted wear;
Though as for that the passing there
Had worn them really about the same,
And both that morning equally lay
In leaves no step had trodden black.
Oh, I kept the first for another day!
Yet knowing how way leads on to way,
I doubted if I should ever come back.
I shall be telling this with a sigh
Somewhere ages and ages hence:
Two roads diverged in a wood, and I
I took the one less traveled by,
And that has made all the difference.
",Mountain Interval ,1916
Christmas Tree,"The city had withdrawn into itself
And left at last the country to the country;
When between whirls of snow not come to lie
And whirls of foliage not yet laid, there drove
A stranger to our yard, who looked the city,
Yet did in country fashion in that there
He sat and waited till he drew us out
A-buttoning coats to ask him who he was.
He proved to be the city come again
To look for something it had left behind
And could not do without and keep its Christmas.
He asked if I would sell my Christmas trees;
My woods—the young fir balsams like a place
Where houses all are churches and have spires.
I hadn’t thought of them as Christmas Trees.
I doubt if I was tempted for a moment
To sell them off their feet to go in cars
And leave the slope behind the house all bare,
Where the sun shines now no warmer than the moon.
I’d hate to have them know it if I was.
Yet more I’d hate to hold my trees except
As others hold theirs or refuse for them,
Beyond the time of profitable growth,
The trial by market everything must come to.
I dallied so much with the thought of selling.
Then whether from mistaken courtesy
And fear of seeming short of speech, or whether
From hope of hearing good of what was mine, I said,
There aren’t enough to be worth while.
I could soon tell how many they would cut,
You let me look them over.
You could look.
But don’t expect I’m going to let you have them.
Pasture they spring in, some in clumps too close
That lop each other of boughs, but not a few
Quite solitary and having equal boughs
All round and round. The latter he nodded “Yes” to,
Or paused to say beneath some lovelier one,
With a buyer’s moderation, “That would do.”
I thought so too, but wasn’t there to say so.
We climbed the pasture on the south, crossed over,
And came down on the north. He said, A thousand.
A thousand Christmas trees!—at what apiece?
He felt some need of softening that to me:
A thousand trees would come to thirty dollars.
Then I was certain I had never meant
To let him have them. Never show surprise!
But thirty dollars seemed so small beside
The extent of pasture I should strip, three cents
For that was all they figured out apiece,
Three cents so small beside the dollar friends
I should be writing to within the hour
Would pay in cities for good trees like those,
Regular vestry-trees whole Sunday Schools
Could hang enough on to pick off enough.
A thousand Christmas trees I didn’t know I had!
Worth three cents more to give away than sell,
As may be shown by a simple calculation.
Too bad I couldn’t lay one in a letter.
I can’t help wishing I could send you one,
In wishing you herewith a Merry Christmas.
",Mountain Interval ,1916
The Sound of tress,"I wonder about the trees.
Why do we wish to bear
Forever the noise of these
More than another noise
So close to our dwelling place?
We suffer them by the day
Till we lose all measure of pace,
And fixity in our joys,
And acquire a listening air.
They are that that talks of going
But never gets away;
And that talks no less for knowing,
As it grows wiser and older,
That now it means to stay.
My feet tug at the floor
And my head sways to my shoulder
Sometimes when I watch trees sway,
From the window or the door.
I shall set forth for somewhere,
I shall make the reckless choice
Some day when they are in voice
And tossing so as to scare
The white clouds over them on.
I shall have less to say,
But I shall be gone.
",Mountain Interval ,1916
"Out, Out-","The buzz saw snarled and rattled in the yard
And made dust and dropped stove-length sticks of wood,
Sweet-scented stuff when the breeze drew across it.
And from there those that lifted eyes could count
Five mountain ranges one behind the other
Under the sunset far into Vermont.
And the saw snarled and rattled, snarled and rattled,
As it ran light, or had to bear a load.
And nothing happened: day was all but done.
Call it a day, I wish they might have said
To please the boy by giving him the half hour
That a boy counts so much when saved from work.
His sister stood beside him in her apron
To tell them ‘Supper.’ At the word, the saw,
As if to prove saws knew what supper meant,
Leaped out at the boy’s hand, or seemed to leap—
He must have given the hand. However it was,
Neither refused the meeting. But the hand!
The boy’s first outcry was a rueful laugh,
As he swung toward them holding up the hand
Half in appeal, but half as if to keep
The life from spilling. Then the boy saw all—
Since he was old enough to know, big boy
Doing a man’s work, though a child at heart—
He saw all spoiled. ‘Don’t let him cut my hand off—
The doctor, when he comes. Don’t let him, sister!’
So. But the hand was gone already.
The doctor put him in the dark of ether.
He lay and puffed his lips out with his breath.
And then—the watcher at his pulse took fright.
No one believed. They listened at his heart.
Little—less—nothing!—and that ended it.
No more to build on there. And they, since they
Were not the one dead, turned to their affairs.
",Mountain Interval ,1916
Home Burial,"He saw her from the bottom of the stairs
Before she saw him. She was starting down,
Looking back over her shoulder at some fear.
She took a doubtful step and then undid it
To raise herself and look again. He spoke
Advancing toward her: ‘What is it you see
From up there always—for I want to know.’
She turned and sank upon her skirts at that,
And her face changed from terrified to dull.
He said to gain time: ‘What is it you see,’
Mounting until she cowered under him.
I will find out now—you must tell me, dear.
She, in her place, refused him any help
With the least stiffening of her neck and silence.
She let him look, sure that he wouldn’t see,
Blind creature; and awhile he didn’t see.
But at last he murmured, Oh, and again, Oh.
What is it—what? she said.
Just that I see.
You don’t, she challenged. Tell me what it is.
The wonder is I didn’t see at once.
I never noticed it from here before.
I must be wonted to it—that’s the reason.
The little graveyard where my people are!
So small the window frames the whole of it.
Not so much larger than a bedroom, is it?
There are three stones of slate and one of marble,
Broad-shouldered little slabs there in the sunlight
On the sidehill. We haven’t to mind those.
But I understand: it is not the stones,
But the child’s mound
Don’t, don’t, don’t, don’t, she cried.
She withdrew shrinking from beneath his arm
That rested on the banister, and slid downstairs;
And turned on him with such a daunting look,
He said twice over before he knew himself:
Can’t a man speak of his own child he’s lost?
Not you! Oh, where’s my hat? Oh, I don’t need it!
I must get out of here. I must get air.
I don’t know rightly whether any man can.
Amy! Don’t go to someone else this time.
Listen to me. I won’t come down the stairs.
He sat and fixed his chin between his fists.
There’s something I should like to ask you, dear.
You don’t know how to ask it.
Help me, then.
Her fingers moved the latch for all reply.
My words are nearly always an offense.
I don’t know how to speak of anything
So as to please you. But I might be taught
I should suppose. I can’t say I see how.
A man must partly give up being a man
With women-folk. We could have some arrangement
By which I’d bind myself to keep hands off
Anything special you’re a-mind to name.
Though I don’t like such things ’twixt those that love.
Two that don’t love can’t live together without them.
But two that do can’t live together with them.’
She moved the latch a little. Don’t—don’t go.
Don’t carry it to someone else this time.
Tell me about it if it’s something human.
Let me into your grief. I’m not so much
Unlike other folks as your standing there
Apart would make me out. Give me my chance.
I do think, though, you overdo it a little.
What was it brought you up to think it the thing
To take your mother-loss of a first child
So inconsolably—in the face of love.
You’d think his memory might be satisfied—
There you go sneering now!
I’m not, I’m not!
You make me angry. I’ll come down to you.
God, what a woman! And it’s come to this,
A man can’t speak of his own child that’s dead.
You can’t because you don't know how to speak.
If you had any feelings, you that dug
With your own hand—how could you?—his little grave;
I saw you from that very window there,
Making the gravel leap and leap in air,
Leap up, like that, like that, and land so lightly
And roll back down the mound beside the hole.
I thought, Who is that man? I didn’t know you.
And I crept down the stairs and up the stairs
To look again, and still your spade kept lifting.
Then you came in. I heard your rumbling voice
Out in the kitchen, and I don’t know why,
But I went near to see with my own eyes.
You could sit there with the stains on your shoes
Of the fresh earth from your own baby’s grave
And talk about your everyday concerns.
You had stood the spade up against the wall
Outside there in the entry, for I saw it.
I shall laugh the worst laugh I ever laughed.
I’m cursed. God, if I don’t believe I’m cursed.
‘I can repeat the very words you were saying:
Three foggy mornings and one rainy day
Will rot the best birch fence a man can build.
Think of it, talk like that at such a time!
What had how long it takes a birch to rot
To do with what was in the darkened parlor?
You couldn’t care! The nearest friends can go
With anyone to death, comes so far short
They might as well not try to go at all.
No, from the time when one is sick to death,
One is alone, and he dies more alone.
Friends make pretense of following to the grave,
But before one is in it, their minds are turned
And making the best of their way back to life
And living people, and things they understand.
But the world’s evil. I won’t have grief so
If I can change it. Oh, I won’t, I won’t!
There, you have said it all and you feel better.
You won’t go now. You’re crying. Close the door.
The heart’s gone out of it: why keep it up.
Amy! There’s someone coming down the road!
You—oh, you think the talk is all. I must go
Somewhere out of this house. How can I make you
If—you—do!’ She was opening the door wider.
Where do you mean to go?  First tell me that.
I’ll follow and bring you back by force.  I will!
",North Of Boston,1914
Reluctance,"Out through the fields and the woods
   And over the walls I have wended;
I have climbed the hills of view
   And looked at the world, and descended;
I have come by the highway home,
   And lo, it is ended. 
The leaves are all dead on the ground,
   Save those that the oak is keeping
To ravel them one by one
   And let them go scraping and creeping
Out over the crusted snow,
   When others are sleeping. 
And the dead leaves lie huddled and still,
   No longer blown hither and thither;
The last lone aster is gone;
   The flowers of the witch hazel wither;
The heart is still aching to seek,
   But the feet question ‘Whither?’
Ah, when to the heart of man
   Was it ever less than a treason
To go with the drift of things,
   To yield with a grace to reason,
And bow and accept the end
   Of a love or a season?
",A Boy's Will,1913
October,"O hushed October morning mild,
Thy leaves have ripened to the fall;
Tomorrow’s wind, if it be wild,
Should waste them all.
The crows above the forest call;
Tomorrow they may form and go.
O hushed October morning mild,
Begin the hours of this day slow.
Make the day seem to us less brief.
Hearts not averse to being beguiled,
Beguile us in the way you know.
Release one leaf at break of day;
At noon release another leaf;
One from our trees, one far away.
Retard the sun with gentle mist;
Enchant the land with amethyst.
Slow, slow!
For the grapes’ sake, if they were all,
Whose leaves already are burnt with frost,
Whose clustered fruit must else be lost—
For the grapes’ sake along the wall.
",A Boy's Will,1913
The Gift Outright,"The land was ours before we were the land’s.
She was our land more than a hundred years
Before we were her people. She was ours
In Massachusetts, in Virginia,
But we were England’s, still colonials,
Possessing what we still were unpossessed by,
Possessed by what we now no more possessed.
Something we were withholding made us weak
Until we found out that it was ourselves
We were withholding from our land of living,
And forthwith found salvation in surrender.
Such as we were we gave ourselves outright
The deed of gift was many deeds of war
To the land vaguely realizing westward,
But still unstoried, artless, unenhanced,
Such as she was, such as she would become.
",A Witness tree,1942
Mowing,"There was never a sound beside the wood but one,
And that was my long scythe whispering to the ground.
What was it it whispered? I knew not well myself;
Perhaps it was something about the heat of the sun,
Something, perhaps, about the lack of sound—
And that was why it whispered and did not speak.
It was no dream of the gift of idle hours,
Or easy gold at the hand of fay or elf:
Anything more than the truth would have seemed too weak
To the earnest love that laid the swale in rows,
Not without feeble-pointed spikes of flowers
(Pale orchises), and scared a bright green snake.
The fact is the sweetest dream that labor knows.
My long scythe whispered and left the hay to make.
",A boy's Will,1913
Love and a Question,"A Stranger came to the door at eve,
   And he spoke the bridegroom fair.
He bore a green-white stick in his hand,
   And, for all burden, care.
He asked with the eyes more than the lips
   For a shelter for the night,
And he turned and looked at the road afar
   Without a window light.
The bridegroom came forth into the porch
   With, Let us look at the sky,
And question what of the night to be,
   Stranger, you and I.
The woodbine leaves littered the yard,
   The woodbine berries were blue,
Autumn, yes, winter was in the wind;
   Stranger, I wish I knew.
Within, the bride in the dusk alone
   Bent over the open fire,
Her face rose-red with the glowing coal
   And the thought of the heart’s desire.
The bridegroom looked at the weary road,
   Yet saw but her within,
And wished her heart in a case of gold
   And pinned with a silver pin.
The bridegroom thought it little to give
   A dole of bread, a purse,
A heartfelt prayer for the poor of God,
   Or for the rich a curse;
But whether or not a man was asked
   To mar the love of two
By harboring woe in the bridal house,
   The bridegroom wished he knew.
",A boy's Will,1913
To E.T.,"I slumbered with your poems on my breast
Spread open as I dropped them half-read through
Like dove wings on a figure on a tomb
To see, if in a dream they brought of you,
I might not have the chance I missed in life
Through some delay, and call you to your face
First soldier, and then poet, and then both,
Who died a soldier-poet of your race.
I meant, you meant, that nothing should remain
Unsaid between us, brother, and this remained—
And one thing more that was not then to say:
The Victory for what it lost and gained.
You went to meet the shell's embrace of fire
On Vimy Ridge; and when you fell that day
The war seemed over more for you than me,
But now for me than you—the other way.
How over, though, for even me who knew
The foe thrust back unsafe beyond the Rhine,
If I was not to speak of it to you
And see you pleased once more with words of mine?
",,
The Star Splitter,"You know Orion always comes up sideways.
Throwing a leg up over our fence of mountains,
And rising on his hands, he looks in on me
Busy outdoors by lantern-light with something
I should have done by daylight, and indeed,
After the ground is frozen, I should have done
Before it froze, and a gust flings a handful
Of waste leaves at my smoky lantern chimney
To make fun of my way of doing things,
Or else fun of Orion's having caught me.
Has a man, I should like to ask, no rights
These forces are obliged to pay respect to?
So Brad McLaughlin mingled reckless talk
Of heavenly stars with hugger-mugger farming,
Till having failed at hugger-mugger farming,
He burned his house down for the fire insurance
And spent the proceeds on a telescope
To satisfy a lifelong curiosity
About our place among the infinities.
What do you want with one of those blame things?
I asked him well beforehand. Don't you get one!
Don't call it blamed; there isn't anything
More blameless in the sense of being less
A weapon in our human fight,"" he said.
I'll have one if I sell my farm to buy it.
There where he moved the rocks to plow the ground
And plowed between the rocks he couldn't move,
Few farms changed hands; so rather than spend years
Trying to sell his farm and then not selling,
He burned his house down for the fire insurance
And bought the telescope with what it came to.
He had been heard to say by several:
The best thing that we're put here for's to see;
The strongest thing that's given us to see with's
A telescope. Someone in every town
Seems to me owes it to the town to keep one.
In Littleton it may as well be me.
After such loose talk it was no surprise
When he did what he did and burned his house down.
Mean laughter went about the town that day
To let him know we weren't the least imposed on,
And he could wait—we'd see to him tomorrow.
But the first thing next morning we reflected
If one by one we counted people out
For the least sin, it wouldn't take us long
To get so we had no one left to live with.
For to be social is to be forgiving.
Our thief, the one who does our stealing from us,
We don't cut off from coming to church suppers,
But what we miss we go to him and ask for.
He promptly gives it back, that is if still
Uneaten, unworn out, or undisposed of.
It wouldn't do to be too hard on Brad
About his telescope. Beyond the age
Of being given one for Christmas gift,
He had to take the best way he knew how
To find himself in one. Well, all we said was
He took a strange thing to be roguish over.
Some sympathy was wasted on the house,
A good old-timer dating back along;
But a house isn't sentient; the house
Didn't feel anything. And if it did,
Why not regard it as a sacrifice,
And an old-fashioned sacrifice by fire,
Instead of a new-fashioned one at auction?
Out of a house and so out of a farm
At one stroke of a match, Brad had to turn
To earn a living on the Concord railroad,
As under-ticket-agent at a station
Where his job, when he wasn't selling tickets,
Was setting out up track and down, not plants
As on a farm, but planets, evening stars
That varied in their hue from red to green.
He got a good glass for six hundred dollars.
His new job gave him leisure for stargazing.
Often he bid me come and have a look
Up the brass barrel, velvet black inside,
At a star quaking in the other end.
I recollect a night of broken clouds
And underfoot snow melted down to ice,
And melting further in the wind to mud.
Bradford and I had out the telescope.
We spread our two legs as it spread its three,
Pointed our thoughts the way we pointed it,
And standing at our leisure till the day broke,
Said some of the best things we ever said.
That telescope was christened the Star-Splitter,
Because it didn't do a thing but split
A star in two or three the way you split
A globule of quicksilver in your hand
With one stroke of your finger in the middle.
It's a star-splitter if there ever was one,
And ought to do some good if splitting stars
Sa thing to be compared with splitting wood.
We've looked and looked, but after all where are we?
Do we know any better where we are,
And how it stands between the night tonight
And a man with a smoky lantern chimney?
How different from the way it ever stood?
",New Hampshire,1923
Mending Wall,"Something there is that doesn't love a wall,
That sends the frozen-ground-swell under it,
And spills the upper boulders in the sun;
And makes gaps even two can pass abreast.
The work of hunters is another thing:
I have come after them and made repair
Where they have left not one stone on a stone,
But they would have the rabbit out of hiding,
To please the yelping dogs. The gaps I mean,
No one has seen them made or heard them made,
But at spring mending-time we find them there.
I let my neighbor know beyond the hill;
And on a day we meet to walk the line
And set the wall between us once again.
We keep the wall between us as we go.
To each the boulders that have fallen to each.
And some are loaves and some so nearly balls
We have to use a spell to make them balance:
Stay where you are until our backs are turned!
We wear our fingers rough with handling them.
Oh, just another kind of out-door game,
One on a side. It comes to little more:
There where it is we do not need the wall:
He is all pine and I am apple orchard.
My apple trees will never get across
And eat the cones under his pines, I tell him.
He only says, Good fences make good neighbors.
Spring is the mischief in me, and I wonder
If I could put a notion in his head:
Why do they make good neighbors? Isn't it
Where there are cows? But here there are no cows.
Before I built a wall I'd ask to know
What I was walling in or walling out,
And to whom I was like to give offense.
Something there is that doesn't love a wall,
That wants it down. I could say Elves to him,
But it's not elves exactly, and I'd rather
He said it for himself. I see him there
Bringing a stone grasped firmly by the top
In each hand, like an old-stone savage armed.
He moves in darkness as it seems to me,
Not of woods only and the shade of trees.
He will not go behind his father's saying,
And he likes having thought of it so well
He says again, Good fences make good neighbors.
",North of Boston,1914
The Oven Bird,"There is a singer everyone has heard,
Loud, a mid-summer and a mid-wood bird,
Who makes the solid tree trunks sound again.
He says that leaves are old and that for flowers
Mid-summer is to spring as one to ten.
He says the early petal-fall is past
When pear and cherry bloom went down in showers
On sunny days a moment overcast;
And comes that other fall we name the fall.
He says the highway dust is over all.
The bird would cease and be as other birds
But that he knows in singing not to sing.
The question that he frames in all but words
Is what to make of a diminished thing.
",Mountain Interval,1916
To the Thawing Wind,"Come with rain, O loud Southwester!
Bring the singer, bring the nester;
Give the buried flower a dream;
Make the settled snowbank steam;
Find the brown beneath the white;
But whate’er you do tonight,
Bathe my window, make it flow,
Melt it as the ice will go;
Melt the glass and leave the sticks
Like a hermit’s crucifix;
Burst into my narrow stall;
Swing the picture on the wall;
Run the rattling pages o’er;
Scatter poems on the floor;
Turn the poet out of door.
",A boy's Will,1913
The Vantage Point,"If tired of trees I seek again mankind,
    Well I know where to hie me—in the dawn,
    To a slope where the cattle keep the lawn.
There amid lolling juniper reclined,
Myself unseen, I see in white defined
    Far off the homes of men, and farther still
    The graves of men on an opposing hill,
Living or dead, whichever are to mind.
And if by noon I have too much of these,
    I have but to turn on my arm, and lo,
    The sunburned hillside sets my face aglow,
My breathing shakes the bluet like a breeze,
    I smell the earth, I smell the bruisèd plant,
    I look into the crater of the ant.
I walked down alone Sunday after church
   To the place where John has been cutting trees
To see for myself about the birch
   He said I could have to bush my peas.
The sun in the new-cut narrow gap
   Was hot enough for the first of May,
And stifling hot with the odor of sap
   From stumps still bleeding their life away.
The frogs that were peeping a thousand shrill
   Wherever the ground was low and wet,
The minute they heard my step went still
   To watch me and see what I came to get.
Birch boughs enough piled everywhere!—
   All fresh and sound from the recent axe.
Time someone came with cart and pair
   And got them off the wild flower’s backs.
They might be good for garden things
   To curl a little finger round,
The same as you seize cat’s-cradle strings,
   And lift themselves up off the ground.
Small good to anything growing wild,
   They were crooking many a trillium
That had budded before the boughs were piled
   And since it was coming up had to come.

You were forever finding some new play. 
So when I saw you down on hands and knees 
In the meadow, busy with the new-cut hay, 
Trying, I thought, to set it up on end, 
I went to show you how to make it stay, 
If that was your idea, against the breeze, 
And, if you asked me, even help pretend 
To make it root again and grow afresh. 
But 'twas no make-believe with you to-day, 
Nor was the grass itself your real concern, 
Though I found your hand full of wilted fern, 
Steel-bright June-grass, and blackening heads of clover. 
'Twas a nest full of young birds on the ground 
The cutter-bar had just gone champing over 
Miraculously without tasting flesh 
And left defenseless to the heat and light. 
You wanted to restore them to their right 
Of something interposed between their sight 
And too much world at once—could means be found. 
The way the nest-full every time we stirred 
Stood up to us as to a mother-bird 
Whose coming home has been too long deferred, 
Made me ask would the mother-bird return 
And care for them in such a change of scene 
And might our meddling make her more afraid. 
That was a thing we could not wait to learn. 
We saw the risk we took in doing good, 
But dared not spare to do the best we could 
Though harm should come of it; so built the screen 
You had begun, and gave them back their shade. 
All this to prove we cared. Why is there then 
No more to tell? We turned to other things. 
I haven't any memory—have you?—
Of ever coming to the place again 
To see if the birds lived the first night through, 
And so at last to learn to use their wings.
",A boy's Will,1913
The Wood-Pile,"Out walking in the frozen swamp one grey day 
I paused and said, I will turn back from here. 
No, I will go on farther—and we shall see.
The hard snow held me, save where now and then 
One foot went down. The view was all in lines 
Straight up and down of tall slim trees 
Too much alike to mark or name a place by 
So as to say for certain I was here 
Or somewhere else: I was just far from home. 
A small bird flew before me. He was careful 
To put a tree between us when he lighted, 
And say no word to tell me who he was 
Who was so foolish as to think what he thought. 
He thought that I was after him for a feather—
The white one in his tail; like one who takes 
Everything said as personal to himself. 
One flight out sideways would have undeceived him. 
And then there was a pile of wood for which 
I forgot him and let his little fear 
Carry him off the way I might have gone, 
Without so much as wishing him good-night. 
He went behind it to make his last stand. 
It was a cord of maple, cut and split 
And piled—and measured, four by four by eight. 
And not another like it could I see. 
No runner tracks in this year's snow looped near it. 
And it was older sure than this year's cutting, 
Or even last year's or the year's before. 
The wood was grey and the bark warping off it 
And the pile somewhat sunken. Clematis 
Had wound strings round and round it like a bundle. 
What held it though on one side was a tree 
Still growing, and on one a stake and prop, 
These latter about to fall. I thought that only 
Someone who lived in turning to fresh tasks 
Could so forget his handiwork on which 
He spent himself, the labour of his axe, 
And leave it there far from a useful fireplace 
To warm the frozen swamp as best it could 
With the slow smokeless burning of decay.
",North of Boston,1914
Meeting and Passing,"As I went down the hill along the wall
There was a gate I had leaned at for the view
And had just turned from when I first saw you
As you came up the hill. We met. But all
We did that day was mingle great and small
Footprints in summer dust as if we drew
The figure of our being less than two
But more than one as yet. Your parasol
Pointed the decimal off with one deep thrust.
And all the time we talked you seemed to see
Something down there to smile at in the dust.
Oh, it was without prejudice to me!
Afterward I went past what you had passed
Before we met, and you what I had passed.
",Mountain Interval,1916
Fragmentary Blue,"Why make so much of fragmentary blue
In here and there a bird, or butterfly,
Or flower, or wearing-stone, or open eye,
When heaven presents in sheets the solid hue?
Since earth is earth, perhaps, not heaven as yet—
Though some savants make earth include the sky;
And blue so far above us comes so high,
It only gives our wish for blue a whet.
I went to turn the grass once after one
Who mowed it in the dew before the sun.
The dew was gone that made his blade so keen
Before I came to view the levelled scene.
I looked for him behind an isle of trees;
I listened for his whetstone on the breeze.
But he had gone his way, the grass all mown,
And I must be, as he had been,—alone,
As all must be, I said within my heart,
Whether they work together or apart.
But as I said it, swift there passed me by
On noiseless wing a ’wildered butterfly,
Seeking with memories grown dim o’er night
Some resting flower of yesterday’s delight.
And once I marked his flight go round and round,
As where some flower lay withering on the ground.
And then he flew as far as eye could see,
And then on tremulous wing came back to me.
I thought of questions that have no reply,
And would have turned to toss the grass to dry;
But he turned first, and led my eye to look
At a tall tuft of flowers beside a brook,
A leaping tongue of bloom the scythe had spared
Beside a reedy brook the scythe had bared.
I left my place to know them by their name, 
Finding them butterfly weed when I came.
The mower in the dew had loved them thus,
By leaving them to flourish, not for us,
Nor yet to draw one thought of ours to him.
But from sheer morning gladness at the brim.
The butterfly and I had lit upon,
Nevertheless, a message from the dawn,
That made me here the wakening birds around,
And hear his long scythe whispering to the ground,
And feel a spirit kindred to my own;
So that henceforth I worked no more alone;
But glad with him, I worked as with his aid,
And weary, sought at noon with him the shade;
And dreaming, as it were, held brotherly speech
With one whose thought I had not hoped to reach.
Men work together. I told him from the heart,
Whether they work together or apart.
",New Hampshire,1923
